t,agent_id,type,x,y,v,serving_cell,snr_dB,los
0,ped0,ped,310.2950664451827,384.945,0.0,g1,-0.0,0
0,ped1,ped,653.3948708330709,576.5953155369674,0.0,g2,0.6,0
0,ped2,ped,492.77460943176584,248.83358341067577,0.0,g0,6.1,0
0,ped3,ped,867.3308274767081,531.0909212171808,0.0,g2,17.9,0
0,ped4,ped,393.195,524.7258377160031,0.0,g0,-1.2,0
0,veh0,veh,555.3859302813944,346.56589248215033,0.0,g0,11.4,0
0,veh1,veh,498.6775659457432,412.40123640455056,0.0,g0,4.7,0
0,veh2,veh,411.2004095614535,653.7087193258396,0.0,g0,-3.5,0
0,veh3,veh,853.5419797613032,176.1979862443924,0.0,g0,40.0,1
0,veh4,veh,429.29533226581265,271.3,0.0,g0,3.1,0
1,ped0,ped,310.2809553651372,385.845971080486,0.9009710804860029,g1,-0.1,0
1,ped1,ped,653.3713884054632,578.0388977741455,1.4421376411846725,g2,0.6,0
1,ped2,ped,493.6092102501294,249.50092271533867,1.0325589902980332,g0,6.2,0
1,ped3,ped,866.8282655987388,530.3642298850311,0.8835450249388748,g2,17.8,0
1,ped4,ped,393.9798943530626,524.7403837170365,0.7848943530626193,g0,-1.2,0
1,veh0,veh,556.1519792776119,348.3252664524216,1.9189507206669076,g0,11.4,0
1,veh1,veh,499.3829155217353,411.2869885236355,1.318861911725253,g0,4.7,0
1,veh2,veh,413.1788360629038,653.0131289682197,2.0975293326890094,g0,-3.4,0
1,veh3,veh,855.8797081994422,175.18387306277717,2.596356180612929,g0,39.9,1
1,veh4,veh,429.323536492988,273.5016924838768,2.201692483876832,g0,3.2,0
2,ped0,ped,310.2673671078801,386.71356071808,0.8675896375939676,g1,-0.1,0
2,ped1,ped,653.3483751774357,579.4536359671379,1.413322461298958,g2,0.6,0
2,ped2,ped,494.542814883958,250.2474245800155,1.1550454263077377,g0,6.2,0
2,ped3,ped,866.1224094951091,529.3435804192872,1.2409529572851734,g2,17.7,0
2,ped4,ped,394.9835149091937,524.7589832465015,1.0036205561310796,g0,-1.2,0
2,veh0,veh,557.605523630441,351.66360135218576,3.641124780732207,g0,11.3,0
2,veh1,veh,501.4253592196852,408.06051949354065,3.8189591257367286,g0,4.9,0
2,veh2,veh,416.6797557016561,651.7822488007063,3.7116777541581545,g0,-3.4,0
2,veh3,veh,860.1939669846906,173.31233544889477,4.791554176737554,g0,39.8,1
2,veh4,veh,429.37753587582205,277.71701930635606,4.2153268224792555,g0,3.2,0
3,ped0,ped,310.2495761922584,387.84948372459263,1.1359230065126513,g1,-0.1,0
3,ped1,ped,653.3255162779699,580.8588868118005,1.403844606979983,g2,0.6,0
3,ped2,ped,495.3746803566985,250.9125767269307,1.02917485065603,g0,6.3,0
3,ped3,ped,865.5649331275357,528.5374841713369,0.9800892043000364,g2,17.7,0
3,ped4,ped,395.64766255247724,524.7712915173763,0.6641476432835528,g0,-1.2,0
3,veh0,veh,559.8584192392791,356.8377950545462,5.64349757458549,g0,11.1,0
3,veh1,veh,504.680203238466,402.918809376916,6.085903998650611,g0,5.3,0
3,veh2,veh,422.3963872078304,649.7723516673803,6.060777218453586,g0,-3.3,0
3,veh3,veh,866.1260689836392,171.05438915058394,6.4741341718938195,g0,39.6,1
3,veh4,veh,429.46470289745514,284.5214949325891,6.8044756262330335,g0,3.2,0
4,ped0,ped,310.23756711048776,388.6162454000711,0.766761675478483,g1,-0.1,0
4,ped1,ped,653.3020736950513,582.3000195967259,1.4396906401042362,g2,0.5,0
4,ped2,ped,495.90836644015224,251.33930731717692,0.6602705764745932,g0,6.3,0
4,ped3,ped,864.8716604755325,527.5350300475525,1.2188302166466665,g2,17.5,0
4,ped4,ped,396.29630839982025,524.7833125022756,0.6486458473430119,g0,-1.2,0
4,veh0,veh,563.0860004685699,364.2505355317075,8.085082490206696,g0,10.7,0
4,veh1,veh,508.8925754696889,396.2644822290422,7.876289265439846,g0,5.7,0
4,veh2,veh,430.2530928490183,647.0263966392265,8.324309078976512,g0,-3.1,0
4,veh3,veh,873.7918691402658,168.54139706492512,8.219600459374487,g0,39.3,1
4,veh4,veh,429.5547269013882,291.2063847041124,6.685315611580089,g0,3.3,0
5,ped0,ped,310.22767403766346,389.2479031103962,0.6316577103250892,g1,-0.2,0
5,ped1,ped,653.2817417700631,583.5499246853691,1.2486543058083044,g2,0.5,0
5,ped2,ped,496.4417798403516,251.76581987234658,0.659933215739309,g0,6.4,0
5,ped3,ped,864.4670459183861,526.9499679797173,0.7113455967433724,g2,17.5,0
5,ped4,ped,397.47335167348837,524.8051259764183,1.1770432736680958,g0,-1.1,0
5,veh0,veh,567.1916943231679,373.68002494210987,10.28475230699405,g0,10.2,0
5,veh1,veh,514.3022435465593,387.7187746873193,10.114991806191393,g0,6.4,0
5,veh2,veh,439.85094839580813,643.7255468480025,10.151462784223257,g0,-3.0,0
5,veh3,veh,883.1638032294891,165.91373230877622,9.93205141336657,g0,39.1,1
5,veh4,veh,431.2512307483768,295.62087345694874,4.883270184317241,g0,3.4,0
6,ped0,ped,310.21599325649237,389.99370329002005,0.7458001796238628,g1,-0.2,0
6,ped1,ped,653.2678050066046,584.4066872189826,0.8559051694179654,g2,0.5,0
6,ped2,ped,497.2239556740646,252.39124063100056,0.9676993735493549,g0,6.4,0
6,ped3,ped,864.0638737010697,526.3669914975551,0.7088098449544081,g2,17.4,0
6,ped4,ped,398.6285135324321,524.8265339347358,1.1551618589437729,g0,-1.1,0
6,veh0,veh,570.3673596399675,380.97353087222405,7.955033265965057,g0,9.8,0
6,veh1,veh,521.0955746621111,376.9872806062303,12.702163532795385,g0,7.2,0
6,veh2,veh,451.80614587793315,639.6139709943616,12.644776921905576,g0,-2.8,0
6,veh3,veh,893.6371935984997,167.84406883020833,11.30091070968192,g0,-1.2,0
6,veh4,veh,436.3834389367322,296.1364354187294,5.4387425955914495,g0,3.6,0
7,ped0,ped,310.20444964192137,390.73074559005306,0.7370423000330144,g1,-0.2,0
7,ped1,ped,653.2526864849542,585.3360983374391,0.9284810546587687,g2,0.5,0
7,ped2,ped,498.0635806626135,253.06259721693638,1.038774838616761,g0,6.5,0
7,ped3,ped,863.6366875040019,525.7492914287047,0.7510283920997365,g2,17.3,0
7,ped4,ped,399.2870231422768,524.8387377191407,0.6585096098446714,g0,-1.1,0
7,veh0,veh,572.108671356608,384.97277703469257,4.3619812701959155,g0,9.5,0
7,veh1,veh,527.9151374155343,366.21434814067766,12.751211422307685,g0,8.1,0
7,veh2,veh,461.76113125287213,636.1880725659128,10.529916401331933,g0,-2.6,0
7,veh3,veh,905.1142585096143,174.35067103033546,13.51138258324936,g0,-1.4,0
7,veh4,veh,442.0012330824447,294.39994068538095,5.886616323556453,g0,3.9,0
8,ped0,ped,310.1947912940181,391.3474164698159,0.6166708797628719,g1,-0.2,0
8,ped1,ped,653.2383055922713,586.2201637151213,0.8831806914691698,g2,0.5,0
8,ped2,ped,498.8672311125053,253.70518888545925,0.9942675334537248,g0,6.6,0
8,ped3,ped,862.9334333612252,524.7324043303057,1.236378496571819,g2,17.2,0
8,ped4,ped,400.0443409808982,524.8527726603022,0.7573178386213839,g0,-1.1,0
8,veh0,veh,574.7070545281823,390.6572199001102,6.248616235227323,g0,9.1,0
8,veh1,veh,533.2202247349131,357.8338478825285,9.91944681339671,g0,8.9,0
8,veh2,veh,468.7352185999289,633.7874148932075,7.377058378801374,g0,-2.5,0
8,veh3,veh,912.3033465698446,179.57878128247398,9.073194499723925,g0,-1.5,0
8,veh4,veh,449.5560083418767,291.8419632722154,7.9768359645210944,g0,4.3,0
9,ped0,ped,310.18262589931646,392.12415848909956,0.7767420192836045,g1,-0.2,0
9,ped1,ped,653.2181608051609,587.4585645027321,1.2371615171557642,g2,0.5,0
9,ped2,ped,499.7813264924196,254.43609132624965,1.130908791068618,g0,6.7,0
9,ped3,ped,862.4102405788854,523.9758812499919,0.9198158479274003,g2,17.1,0
9,ped4,ped,401.04993779321984,524.8714088146002,1.0055968123216816,g0,-1.1,0
9,veh0,veh,578.1471519826291,398.1429148282445,8.235871943122707,g0,8.6,0
9,veh1,veh,536.4846458044904,352.67700880160226,6.103811158379607,g0,9.4,0
9,veh2,veh,477.4240669640748,630.7722653818906,9.198864218949964,g0,-2.3,0
9,veh3,veh,916.6504933380608,183.53681281549305,5.9901583656113,g0,-1.6,0
9,veh4,veh,458.42894628303077,288.8376680996283,9.368640105024614,g0,4.7,0
10,ped0,ped,310.16789682790636,393.0645873818569,0.9404288927573361,g1,-0.3,0
10,ped1,ped,653.1961194722721,588.8135554420725,1.3536349968580181,g2,0.5,0
10,ped2,ped,500.38676751059546,254.92019651665197,0.7490449957122716,g0,6.7,0
10,ped3,ped,861.6702390555827,522.9058584003986,1.3009834072636373,g2,17.0,0
10,ped4,ped,401.8499124782742,524.8862342908571,0.7999746850542983,g0,-1.1,0
10,veh0,veh,582.3374324862331,406.9226747435827,9.729335852818563,g0,48.1,1
10,veh1,veh,539.114119348747,348.39243242921225,5.0301853559999685,g0,9.8,0
10,veh2,veh,488.33241416457946,626.9474722566204,11.560421820668196,g0,-2.1,0
10,veh3,veh,918.2296727047346,185.83869081893863,2.94283647257103,g0,-1.6,0
10,veh4,veh,469.0688527895042,285.23509362360096,11.234323453105688,g0,5.3,0
11,ped0,ped,310.1583502163436,393.6741240655788,0.609536683721914,g1,-0.3,0
11,ped1,ped,653.1795113169048,589.8345417932778,1.0199646478661453,g2,0.5,0
11,ped2,ped,501.2003427731406,255.57072397606947,1.0065464029525175,g0,6.8,0
11,ped3,ped,861.0457113770904,522.0028077104382,1.0979709115585945,g2,16.8,0
11,ped4,ped,402.5200992338863,524.8986544811689,0.6701867556121336,g0,-1.0,0
11,veh0,veh,587.1472667566782,416.93147710664437,11.106089627383277,g0,7.4,0
11,veh1,veh,541.3552458346594,343.4429418443519,5.500786144737616,g0,10.3,0
11,veh2,veh,501.12067200571136,622.4358073842543,13.559989990352415,g0,-1.9,0
11,veh3,veh,915.8234173639472,186.84287104554284,3.3691729809084383,g0,-1.5,0
11,veh4,veh,481.9342884268328,280.87897545453495,13.584185653034298,g0,6.0,0
12,ped0,ped,310.14431469686957,394.5702707180572,0.8961466524783948,g1,-0.3,0
12,ped1,ped,653.166548763437,590.6314147677087,0.7960755418520421,g2,0.5,0
12,ped2,ped,501.8396777495107,256.0819304704677,0.79097822951735,g0,6.8,0
12,ped3,ped,860.5906638775069,521.344820926801,0.8000108484002378,g2,16.7,0
12,ped4,ped,403.56805154385444,524.9180755858365,1.047952309968144,g0,-1.0,0
12,veh0,veh,592.5318324640217,428.13758825694254,12.434296347749418,g0,6.7,0
12,veh1,veh,537.8983443867404,341.39676295765656,5.562217910014555,g0,10.0,0
12,veh2,veh,513.5700571643541,618.0436959332208,13.200667380530149,g0,-1.7,0
12,veh3,veh,911.356990765286,182.77260817952384,5.923463870717346,g0,-1.5,0
12,veh4,veh,494.44097123307887,276.64432769422433,13.205390468918125,g0,6.8,0
13,ped0,ped,310.13211681637415,395.34908690605107,0.7788161879938948,g1,-0.3,0
13,ped1,ped,653.1525512424785,591.4919123686342,0.8596364990397707,g2,0.5,0
13,ped2,ped,502.5263454307473,256.7132010189775,0.9049395648549157,g0,6.9,0
13,ped3,ped,860.1293224629903,520.677733306774,0.8110760673718889,g2,16.6,0
13,ped4,ped,404.7003230733311,524.9390593306854,1.1322715294766466,g0,-1.0,0
13,veh0,veh,598.084166748493,440.8566464121935,13.87745061969068,g0,5.9,0
13,veh1,veh,532.3093667213744,343.69632208302085,6.048215122785881,g0,9.4,0
13,veh2,veh,526.5482641365402,613.4470364787693,13.767463399365306,g0,-1.5,0
13,veh3,veh,904.5138053923628,177.5661139524738,8.44903544610566,g0,-1.3,0
13,veh4,veh,503.43494622849096,273.59905048837805,9.496439105562585,g0,7.4,0
14,ped0,ped,310.1221349109804,395.98641644134653,0.63732953529543,g1,-0.4,0
14,ped1,ped,653.1316083544293,592.7793764114576,1.2861756746584434,g2,0.4,0
14,ped2,ped,502.9769907664905,257.23722446037624,0.6678364590932486,g0,6.9,0
14,ped3,ped,859.6428308974782,519.974279226154,0.855292096805723,g2,16.5,0
14,ped4,ped,405.81808059225807,524.9597740956242,1.117757518926988,g0,-1.0,0
14,veh0,veh,603.0051170978974,453.57736504210874,13.637973858771474,g0,5.2,0
14,veh1,veh,524.7934482084748,347.3911389418826,8.375247080074153,g0,8.7,0
14,veh2,veh,538.5929750054223,609.0594132217414,12.818759284971975,g0,-1.3,0
14,veh3,veh,895.5470738778351,171.86964830181594,10.441438769751363,g0,-1.2,0
14,veh4,veh,508.2380460631963,272.2507347602936,4.996439105562585,g0,7.7,0
15,ped0,ped,310.1099132351286,396.7667519267899,0.7803354854433564,g1,-0.4,0
15,ped1,ped,653.1154840260011,593.7706195015811,0.9902511509324541,g2,0.4,0
15,ped2,ped,503.47974607731163,257.8218428892423,0.7450611377467997,g0,7.0,0
15,ped3,ped,859.0002119718522,519.0450690659748,1.1297768087041427,g2,16.4,0
15,ped4,ped,406.9066673960571,524.9799482562755,1.0885868037990358,g0,-1.0,0
15,veh0,veh,607.3388749761266,464.7801837386645,12.010622432044334,g0,4.6,0
15,veh1,veh,515.6873372349459,351.86769257746494,10.147253354461393,g0,7.8,0
15,veh2,veh,551.5313842007606,604.2341721567327,13.809813915973292,g0,-1.1,0
